100307,992673,0
100408,978578,0
103515,962058,0
105014,947668,0
106824,919966,0
107018,902242,0
107422,849264,0
111009,835657,0
112516,792867,0
113316,727553,0
120212,656253,0
125424,618952,0
127226,142828,0
127832,599671,0
128632,576255,0
130316,571144,0
130417,567759,0
130720,561444,0
134021,555954,0
141422,529549,0
141826,350330,0
143830,419239,0
148436,387959,0
148941,381543,0
149741,376247,0
159138,346945,0
159441,316633,0
166438,308331,0
167238,303119,0
168341,298051,0
169949,285446,0
172433,284646,0
192540,213017,0
194443,211619,0
198047,211215,0
200109,210112,0
202820,204319,0
203923,204218,0
205119,200917,0
205826,198451,0
231928,192136,0
295146,189450,0
299154,188549,0
300719,188145,0
304727,186545,0
316835,186141,0
325129,180735,0
341834,180129,0
353740,178950,0
358144,178748,0
368753,175338,0
378756,173839,0
390645,164030,0
413934,162228,0
453441,156536,0
497865,154330,0
500222,154229,0
506234,153833,0
510225,153126,0
555348,147737,0
559053,147636,0
611938,139233,0
660951,135932,0
664757,135730,0
677968,134223,0
680452,131924,0
702133,129331,0
709551,127630,0
715950,120515,0
723141,120414,0
742549,118528,0
744553,118124,0
749058,115219,0
769064,105216,0
792564,102614,0
825553,101107,0
832651,101006,0
891667,965367,0
111211,957974,0
124422,815247,0
144731,553344,0
151425,173435,0
154532,555651,0
165638,465852,0
172938,361941,0
175439,213421,0
186848,227432,0
194140,274542,0
196750,212015,0
207426,208226,0
212823,201818,0
257542,206727,0
322224,183034,0
352132,195849,0
469961,415837,0
512835,168745,0
519647,164939,0
548250,163836,0
557857,160830,0
562446,138332,0
579867,133928,0
656657,124624,0
820745,101915,0
828862,917255,0
884064,837964,0
885975,917558,0
912447,175742,0
969476,663755,0
108323,365343,1
137128,901139,1
159239,176542,1
177645,214019,1
770352,158035,1
100610,905147,2
104416,878776,2
111312,765864,2
115825,861456,2
116726,671855,2
146432,436845,2
146937,173334,2
156334,360030,2
164636,389357,2
169747,283543,2
180533,221319,2
182436,205220,2
185442,204521,2
192439,200311,2
192641,201515,2
320826,181636,2
393247,169040,2
525541,552241,2
573249,581450,2
644246,380036,2
680957,467351,2
724446,463040,2
725751,318637,2
872764,966975,2
898176,899885,2
104012,990366,0
110007,987074,0
111413,959574,0
114924,894067,0
116524,877269,0
118831,871964,0
123723,856766,0
123925,837560,0
126325,812746,0
129028,753150,0
133019,749361,0
135528,580751,0
143224,578057,0
143325,567961,0
151728,516742,0
171330,394956,0
179346,286347,0
453542,180432,0
568963,162733,0
692964,122317,0
731140,112314,0
763557,112112,0
767464,108525,0
852455,102513,0
955465,123824,0
128026,125222,0
144125,147030,0
151324,149236,0
154734,130013,0
154936,119126,0
160123,173738,0
170631,136227,0
177241,348545,0
185038,103414,0
199352,896778,0
212217,205725,0
214423,201111,0
220721,199453,0
224022,194746,0
268850,518746,0
293748,192035,0
309636,187143,0
329844,250427,0
395251,366446,0
480141,281135,0
481042,209834,0
529953,199958,0
579665,146533,0
622236,188448,0
623844,111716,0
728454,108121,0
756055,181131,0
888678,911849,0
993675,887373,0
102311,901442,1
111514,690152,1
115017,826353,2
181232,562345,1
251833,412528,1
627549,638049,1
126426,429040,2
134829,406836,2
148133,233326,2
155938,203418,2
165436,182739,2
167440,171633,2
783462,114823,2
871762,105923,2
878877,943862,2
